Year,Mugil cephalus,Epinephelus guttatus,Pomadasyidae,Mugilidae,Cynoscion regalis,Lutjanidae,Lutjanidae spp,Sebastes spp.,Brevoortia tyrannus,Opisthonema oglinum,Brevoortia patronus,Sardinella aurita,Sardinella spp,Thunnus alalunga,Sarda sarda,Scomberomorus maculatus,Scomberomorus regalis,Scomberomorus cavalla,Scomberomorus brasiliensis,Katsuwonus pelamis,Thunnus albacares,Thunnus spp,Rajiformes,Osteichthyes,Menippe mercenaria,Panulirus argus,Panulirus spp,Xiphopenaeus kroyeri,Penaeus aztecus,Penaeus duorarum,Penaeus setiferus,Penaeus spp,Penaeus brasiliensis,Sicyonia brevirostris,Pleoticus robustus,Other shrimps,Strombus spp,Haliotis spp,Crassostrea virginica,Ostreoidea spp,Argopecten gibbus,Argopecten spp,Total
1950,4000,6331,3138,16314,15399,8105,4069,10200,17170,100,197452,17000,200,0,133,2865,100,4716,300,500,1000,3960,3926,23160,17914,2557,0,0,48668,9392,27323,2800,0,0,0,0,643,19,43120,0,0,733,493307
1951,4000,6712,3211,18231,15933,8242,4739,9500,19815,100,227874,16000,200,0,108,3943,100,5417,300,500,1158,3901,3912,23180,17204,3105,0,0,57249,11048,32139,2600,0,0,0,0,643,37,38022,0,0,1623,540746
1952,4000,6068,3169,17169,17370,9074,4371,9100,28117,100,323341,13000,200,0,5,3686,100,4060,300,700,700,3101,2619,23247,16835,2581,0,0,57900,11174,32504,2400,0,0,0,0,643,26,48339,0,0,1730,647729
1953,3800,5637,2980,16042,15099,8661,4194,7700,23093,100,265572,12400,200,0,16,3066,100,4072,300,800,500,3300,2906,28624,20438,2705,0,0,66560,12845,37367,4180,0,0,0,0,743,0,49931,0,0,1104,605035
1954,2300,8026,3469,16143,26124,9246,7259,6300,22045,200,253518,8400,300,0,104,4712,100,4109,400,600,607,3300,3106,27891,19593,3583,0,0,68722,13262,38581,4980,0,0,0,0,743,0,36906,0,0,354,594983
1955,2700,8373,3917,16736,31213,10263,8624,7200,25721,200,295790,17500,600,0,108,4982,300,5076,500,800,600,2900,3410,31191,24015,4841,0,0,62300,12023,34973,5710,0,0,0,0,743,0,32365,0,0,1121,656795
1956,3200,10393,4096,17891,35916,10498,9997,7700,31733,3618,364929,13700,700,2,206,6358,300,4550,500,800,1451,3111,3710,33244,19832,7312,0,0,56660,10934,31807,6010,0,0,0,0,743,0,36922,300,0,1508,740631
1957,2700,13017,6551,19493,13872,11537,8647,6300,20282,7355,233249,27450,1300,135,209,6982,300,4239,500,1000,3802,4455,3006,50705,22436,10532,0,0,50945,9832,28601,7020,0,0,0,0,743,0,39234,500,0,1582,618511
1958,2800,10855,7359,21763,18203,12014,9688,5402,24928,2655,286667,30434,800,945,202,8268,500,4482,500,1500,14383,5594,3007,63411,26508,9190,0,0,50660,9776,28441,7550,0,0,0,0,843,0,26145,400,0,2134,698007
1959,2500,13923,6707,20736,17135,14263,12457,5701,39276,3336,451676,32000,1000,599,202,6266,800,4772,500,2000,13011,7216,4114,69948,31131,12192,0,0,56754,10953,31862,8050,0,0,0,0,943,30,38836,600,25,783,922297
