Year,Chamelea gallina,Sardinella aurita,Epinephelus marginatus,Mullus barbatus,Pagellus erythrinus,Spicara spp,Atherinidae,Scomber scombrus,Trachurus mediterraneus,Alosa pontica,Clupeonella cultriventris,Aristaeomorpha foliacea,Loligo spp,Octopus vulgaris,Sepia officinalis,Merlangius merlangus,Merluccius merluccius,Psetta maxima,Solea solea,Engraulis encrasicolus,Sardina pilchardus,Sprattus sprattus,Mullus surmuletus,Aristeus antennatus,Parapenaeus longirostris,Penaeus kerathurus,Dicentrarchus labrax,Mugil cephalus,Sparus aurata,Trachurus trachurus,Total
1950,3100,2100,0,0,800,9000,0,16700,3800,2300,84400,200,2700,3700,2000,0,9600,0,600,132500,102200,1200,100,0,7800,100,0,2100,0,12000,399000
1951,3200,2200,0,0,900,7100,0,17800,3400,3300,98400,100,2600,3700,1500,0,10400,0,600,165300,103700,1700,100,0,8600,100,0,2100,200,12000,449000
1952,3200,2400,100,0,800,7000,0,17900,2800,2100,92200,200,2900,3800,1600,0,14300,0,1100,153800,115600,700,100,0,6900,100,0,1600,0,13000,444200
1953,3300,2300,100,0,800,7800,100,20300,2600,2700,100300,200,2800,3800,2000,0,12200,0,500,127600,109500,700,100,0,7000,100,0,2500,200,5000,414500
1954,4200,2600,100,0,800,9900,100,23100,3300,1000,77900,200,3400,5000,2100,0,11800,0,900,123700,105200,4400,100,200,6400,100,0,2600,100,5000,394200
1955,4900,3100,100,0,800,10100,0,7300,3200,1500,41500,100,4000,5800,2000,0,10700,0,800,72400,80300,800,200,200,6800,300,0,3000,100,3000,263000
1956,4700,4300,100,0,800,10200,0,7200,2800,2100,12200,100,4100,5600,2600,0,10200,0,1000,90300,99300,4300,200,100,7200,400,0,2600,300,6000,278700
1957,4900,4700,0,0,800,10000,100,6600,2900,1600,2500,100,4500,6200,2600,0,10600,1800,900,89000,111900,3200,200,400,8700,300,0,2200,200,6000,282900
1958,3800,3900,100,1000,800,14900,2200,6000,3600,2600,2800,100,4400,8900,2500,1000,15400,3000,3100,92000,96700,2100,700,700,8900,300,600,2700,1300,4900,291000
1959,4700,4100,200,1000,800,15100,2300,8800,3300,2900,2300,100,4800,8000,3800,600,15700,3000,3000,137700,94100,2600,800,700,8500,300,600,2700,1200,6800,340500
1960,4400,3300,400,1000,800,14400,1900,9700,4400,1700,3600,100,6800,7300,5000,600,14100,1400,3400,105400,96400,1200,200,450,8150,400,700,2700,900,4900,305700
1961,5800,3600,300,1100,1000,15200,2200,11500,4000,2900,5600,100,7500,7600,5000,900,15000,1600,4000,136300,120300,400,300,800,9400,400,1000,2800,900,3100,370600
1962,5400,4800,100,1700,900,15900,2400,10900,4000,1900,8700,500,6200,6000,4600,900,13400,1400,4500,151300,100100,1800,800,700,6400,600,900,2000,1300,3600,363700
1963,5200,5200,100,1000,1300,15300,3600,22700,4000,1300,24100,400,6300,5800,4800,0,14900,1900,4900,204000,110700,1000,800,500,6200,500,800,2000,1200,13500,464000
1964,8800,6800,600,1000,1200,16200,5500,13200,4200,1600,49500,600,7500,9100,5400,800,15100,2500,4800,210000,117900,4600,700,700,8000,500,1000,2100,1800,4000,505700
1965,9500,8200,600,1700,900,16200,3400,18800,5400,3300,75800,600,9500,9100,8500,800,15500,2300,7600,206700,108400,5400,1000,800,7900,800,1200,2100,2000,7100,541100
