Year,E1
1950,437652275.2
1951,543912704.8
1952,406652721.5
1953,341019069.6
1954,364484081.5
1955,336906159.1
1956,481422747.1
1957,328101292.8
1958,362403232.7
1959,448860499.8
1960,697635200.5
1961,587663097
1962,408836411.6
1963,349012701.7
1964,490358757.3
1965,481322464.8
1966,742752304.3
1967,592926119.2
1968,747280062.5
1969,566041801.7
1970,1194656033
1971,552018679.7
1972,773169371.6
1973,1083150947
1974,704045089.3
1975,662366236
1976,1007987412
1977,761830012
1978,932919881.5
1979,1203489133
1980,695787992.1
1981,1531186148
1982,1830168703
1983,1307874499
1984,1115380939
1985,787436671.1
1986,1171431362
1987,943736879.3
1988,1069758608
1989,850483434.4
1990,1013413224
1991,846263261.5
1992,1062091881
1993,1419190318
1994,1156004908
1995,794080464.3
1996,757443872
1997,876660589.7
1998,916891986.3
1999,947466120.7
2000,1678767438
2001,1816872046
2002,1498628583
2003,1920520664
2004,1197759262
2005,1068065621
2006,1480901489
2007,1086391473
2008,1011119168
2009,1432091213
2010,1045411975
2011,932531063.5
2012,830886008.2
2013,1101042971
2014,1017025026
2015,1219535067
